"","edgeuid","x"
"1451",153327900,95
"1452",153327901,85
"1453",153327904,95
"1454",153327906,95
"1455",153327933,5
"1456",153327940,3225
"1457",153327941,3240
"1458",153327945,3250
"1459",153327947,5
"1460",153327951,5
"1461",153327954,5
"1462",153327958,30
"1463",153327960,30
"1464",153327961,30
"1465",153327962,30
"1466",153327965,30
"1467",153327970,145
"1468",153327981,30
"1469",153327985,175
"1470",153327986,40
"1471",153327987,30
"1472",153327991,130
"1473",153327992,160
"1474",153327993,160
"1475",153327994,140
"1476",153327995,25
"1477",153327996,180
"1478",153327997,200
"1479",153327999,195
"1480",153328000,185
"1481",153328002,175
"1482",153328004,15
"1483",153328006,5
"1484",153328007,5
"1485",153328009,165
"1486",153328010,20
"1487",153328011,40
"1488",153328013,30
"1489",153328015,30
